Test Number,Date,Series,Ground,Result
969,22/01/2016,2015-2016 South Africa v. England,SuperSport Park,South Africa won by 280 runs
970,19/05/2016,2016 England v. Sri Lanka,Headingley,England won by an innings and 88 runs
971,27/05/2016,2016 England v. Sri Lanka,Riverside Ground,England won by 9 wickets
972,09/06/2016,2016 England v. Sri Lanka,Lord's,Match Drawn
973,14/07/2016,2016 England v. Pakistan,Lord's,Pakistan won by 75 runs
974,22/07/2016,2016 England v. Pakistan,Old Trafford,England won by 330 runs
975,03/08/2016,2016 England v. Pakistan,Edgbaston,England won by 141 runs
976,11/08/2016,2016 England v. Pakistan,Kennington Oval,Pakistan won by 10 wickets
977,20/10/2016,2016-2017 Bangladesh v. England,Zahur Ahmed Chowdhury Stadium,England won by 22 runs
978,28/10/2016,2016-2017 Bangladesh v. England,Shere Bangla National Stadium,Bangladesh won by 108 runs
979,09/11/2016,2016-2017 India v. England,Saurashtra Cricket Association Stadium,Match Drawn
980,16/11/2016,2016-2017 India v. England,Dr YS Rajasekhara Reddy Cricket Stadium,India won by 246 runs
981,26/11/2016,2016-2017 India v. England,Punjab Cricket Association IS Bindra Stadium,India won by 8 wickets
982,08/12/2016,2016-2017 India v. England,Wankhede Stadium,India won by an innings and 36 runs
983,16/12/2016,2016-2017 India v. England,MA Chidambaram Stadium,India won by an innings and 75 runs
984,06/07/2017,2017 England v. South Africa,Lord's,England won by 211 runs
985,14/07/2017,2017 England v. South Africa,Trent Bridge,South Africa won by 340 runs
986,27/07/2017,2017 England v. South Africa,Kennington Oval,England won by 239 runs
987,04/08/2017,2017 England v. South Africa,Old Trafford,England won by 177 runs
988,17/08/2017,2017 England v. West Indies,Edgbaston,England won by an innings and 209 runs
989,25/08/2017,2017 England v. West Indies,Headingley,West Indies won by 5 wickets
990,07/09/2017,2017 England v. West Indies,Lord's,England won by 9 wickets
991,23/11/2017,2017-2018 Australia v. England,Brisbane Cricket Ground,Australia won by 10 wickets
992,02/12/2017,2017-2018 Australia v. England,Adelaide Oval,Australia won by 120 runs
993,14/12/2017,2017-2018 Australia v. England,WACA Ground,Australia won by an innings and 41 runs
994,26/12/2017,2017-2018 Australia v. England,Melbourne Cricket Ground,Match Drawn
995,04/01/2018,2017-2018 Australia v. England,Sydney Cricket Ground,Australia won by an innings and 123 runs
996,22/03/2018,2017-2018 New Zealand v. England,Eden Park,New Zealand won by an innings and 49 runs
997,30/03/2018,2017-2018 New Zealand v. England,Hagley Oval,Match Drawn
998,24/05/2018,2018 England v. Pakistan,Lord's,Pakistan won by 9 wickets
999,01/06/2018,2018 England v. Pakistan,Headingley,England won by an innings and 55 runs
1000,01/08/2018,2018 England v. India,Edgbaston,England won by 31 runs
1001,10/08/2018,2018 England v. India,Lord's,England won by an innings and 159 runs
1002,18/08/2018,2018 England v. India,Trent Bridge,India won by 203 runs
1003,30/08/2018,2018 England v. India,The Rose Bowl,England won by 60 runs
1004,07/09/2018,2018 England v. India,Kennington Oval,England won by 118 runs
1005,06/11/2018,2018-2019 Sri Lanka v. England,Galle International Stadium,England won by 211 runs
1006,14/11/2018,2018-2019 Sri Lanka v. England,Pallekele International Cricket Stadium,England won by 57 runs
1007,23/11/2018,2018-2019 Sri Lanka v. England,Sinhalese Sports Club Ground,England won by 42 runs
1008,23/01/2019,2018-2019 West Indies v. England,Kensington Oval,West Indies won by 381 runs
1009,31/01/2019,2018-2019 West Indies v. England,Sir Vivian Richards Stadium,West Indies won by 10 wickets
1010,09/02/2019,2018-2019 West Indies v. England,Daren Sammy Cricket Ground,England won by 232 runs
1011,24/07/2019,2019 England v Ireland (v. Ireland),Lord's,England won by 143 runs
1012,01/08/2019,2019 England v. Australia,Edgbaston,Australia won by 251 runs
1013,14/08/2019,2019 England v. Australia,Lord's,Match Drawn
1014,22/08/2019,2019 England v. Australia,Headingley,England won by 1 wicket
1015,04/09/2019,2019 England v. Australia,Old Trafford,Australia won by 185 runs
1016,12/09/2019,2019 England v. Australia,Kennington Oval,England won by 135 runs
1017,21/11/2019,2019-2020 New Zealand v. England,Bay Oval,New Zealand won by an innings and 65 runs
1018,29/11/2019,2019-2020 New Zealand v. England,Seddon Park,Match Drawn
1019,26/12/2019,2019-2020 South Africa v. England,SuperSport Park,South Africa won by 107 runs
1020,03/01/2020,2019-2020 South Africa v. England,Newlands,England won by 189 runs
1021,16/01/2020,2019-2020 South Africa v. England,St George's Park,England won by an innings and 53 runs
1022,24/01/2020,2019-2020 South Africa v. England,Wanderers Stadium,England won by 191 runs
1023,08/07/2020,2020 England v. West Indies,The Rose Bowl,West Indies won by 4 wickets
1024,16/07/2020,2020 England v. West Indies,Old Trafford,England won by 113 runs
1025,24/07/2020,2020 England v. West Indies,Old Trafford,England won by 269 runs
1026,05/08/2020,2020 England v. Pakistan,Old Trafford,England won by 3 wickets
1027,13/08/2020,2020 England v. Pakistan,The Rose Bowl,Match Drawn
1028,21/08/2020,2020 England v. Pakistan,The Rose Bowl,Match Drawn
1029,14/01/2021,2020-2021 Sri Lanka v. England,Galle International Stadium,England won by 7 wickets
1030,22/01/2021,2020-2021 Sri Lanka v. England,Galle International Stadium,England won by 6 wickets
1031,05/02/2021,2020-2021 India v. England,MA Chidambaram Stadium,England won by 227 runs
1032,13/02/2021,2020-2021 India v. England,MA Chidambaram Stadium,India won by 317 runs
1033,24/02/2021,2020-2021 India v. England,Narendra Modi Stadium,India won by 10 wickets
1034,04/03/2021,2020-2021 India v. England,Narendra Modi Stadium,India won by an innings and 25 runs
1035,02/06/2021,2020-2021 England v. New Zealand,Lord's,Match Drawn
1036,10/06/2021,2020-2021 England v. New Zealand,Edgbaston,New Zealand won by 8 wickets
1037,04/08/2021,2021 England v. India,Trent Bridge,Match Drawn
1038,12/08/2021,2021 England v. India,Lord's,India won by 151 runs
1039,25/08/2021,2021 England v. India,Headingley,England won by an innings and 76 runs
1040,02/09/2021,2021 England v. India,Kennington Oval,India won by 157 runs
1041,01/07/2022,2021 England v. India,Edgbaston,England won by 7 wickets
1042,08/12/2021,2021-2022 Australia v. England,Brisbane Cricket Ground,Australia won by 9 wickets
1043,16/12/2021,2021-2022 Australia v. England,Adelaide Oval,Australia won by 275 runs
1044,26/12/2021,2021-2022 Australia v. England,Melbourne Cricket Ground,Australia won by an innings and 14 runs
1045,05/01/2022,2021-2022 Australia v. England,Sydney Cricket Ground,Match Drawn
1046,14/01/2022,2021-2022 Australia v. England,Bellerive Oval,Australia won by 146 runs
1047,08/03/2022,2021-2022 West Indies v. England,Sir Vivian Richards Stadium,Match Drawn
1048,16/03/2022,2021-2022 West Indies v. England,Kensington Oval,Match Drawn
1049,24/03/2022,2021-2022 West Indies v. England,National Cricket Stadium (Grenada),West Indies won by 10 wickets
1050,02/06/2022,2022 England v. New Zealand,Lord's,England won by 5 wickets
1051,10/06/2022,2022 England v. New Zealand,Trent Bridge,England won by 5 wickets
1052,23/06/2022,2022 England v. New Zealand,Headingley,England won by 7 wickets
1053,17/08/2022,2022 England v. South Africa,Lord's,South Africa won by an innings and 12 runs
1054,26/08/2022,2022 England v. South Africa,Old Trafford,England won by an innings and 85 runs
1055,08/09/2022,2022 England v. South Africa,Kennington Oval,England won by 9 wickets
1056,01/12/2022,2022-2023 Pakistan v. England,Rawalpindi Cricket Stadium,England won by 74 runs
1057,09/12/2022,2022-2023 Pakistan v. England,Multan Cricket Stadium,England won by 26 runs
1058,17/12/2022,2022-2023 Pakistan v. England,National Stadium (Karachi),England won by 8 wickets
1059,16/02/2023,2022-2023 New Zealand v. England,Bay Oval,England won by 267 runs
1060,24/02/2023,2022-2023 New Zealand v. England,Basin Reserve,New Zealand won by 1 run
1061,01/06/2023,2023 England v. Ireland,Lord's,England won by 10 wickets
1062,16/06/2023,2023 England v. Australia,Edgbaston,Australia won by 2 wickets
1063,28/06/2023,2023 England v. Australia,Lord's,Australia won by 43 runs
1064,06/07/2023,2023 England v. Australia,Headingley,England won by 3 wickets
1065,19/07/2023,2023 England v. Australia,Old Trafford,Match Drawn
1066,27/07/2023,2023 England v. Australia,Kennington Oval,England won by 49 runs
1067,25/01/2024,2023-2024 India v. England,Rajiv Gandhi International Stadium,England won by 28 runs
1068,02/02/2024,2023-2024 India v. England,Dr YS Rajasekhara Reddy Cricket Stadium,India won by 106 runs
1069,15/02/2024,2023-2024 India v. England,Saurashtra Cricket Association Stadium,India won by 434 runs
1070,23/02/2024,2023-2024 India v. England,JSCA International Stadium Complex,India won by 5 wickets
1071,07/03/2024,2023-2024 India v. England,Himachal Pradesh Cricket Association Stadium,India won by an innings and 64 runs
1072,10/07/2024,2024 England v. West Indies,Lord's,England won by an innings and 114 runs
1073,18/07/2024,2024 England v. West Indies,Trent Bridge,England won by 241 runs
1074,26/07/2024,2024 England v. West Indies,Edgbaston,England won by 10 wickets
1075,21/08/2024,2024 England v. Sri Lanka,Old Trafford,England won by 5 wickets
1076,29/08/2024,2024 England v. Sri Lanka,Lord's,England won by 190 runs
1077,06/09/2024,2024 England v. Sri Lanka,Kennington Oval,Sri Lanka won by 8 wickets
1078,07/10/2024,2024-2025 Pakistan v. England,Multan Cricket Stadium,England won by an innings and 47 runs
1079,15/10/2024,2024-2025 Pakistan v. England,Multan Cricket Stadium,Pakistan won by 152 runs
1080,24/10/2024,2024-2025 Pakistan v. England,Rawalpindi Cricket Stadium,Pakistan won by 9 wickets
1081,28/11/2024,2024-2025 New Zealand v. England,Hagley Oval,England won by 8 wickets
1082,06/12/2024,2024-2025 New Zealand v. England,Basin Reserve,England won by 323 runs
1083,14/12/2024,2024-2025 New Zealand v. England,Seddon Park,New Zealand won by 423 runs
